"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W42","EE","Estonia",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W42","EL","Greece",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W42","ES","Spain",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W42","EU31_UKX","EU/EEA",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W42","FR","France",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W42","HU","Hungary",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W42","IE","Ireland",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W42","LT","Lithuania",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W42","LU","Luxembourg",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W42","LV","Latvia",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W42","NL","Netherlands",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W42","NO","Norway",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W42","PL","Poland",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W42","PT","Portugal",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W42","RO","Romania",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W42","SE","Sweden",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W42","SI","Slovenia",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W43","AT","Austria",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W43","BE","Belgium",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W43","BG","Bulgaria",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W43","CZ","Czechia",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W43","DE","Germany",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W43","DK","Denmark",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W43","EE","Estonia",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W43","EL","Greece",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W43","ES","Spain",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W43","EU31_UKX","EU/EEA",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W43","FR","France",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W43","HU","Hungary",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W43","IE","Ireland",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W43","LT","Lithuania",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W43","LU","Luxembourg",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W43","LV","Latvia",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W43","NL","Netherlands",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W43","NO","Norway",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W43","PL","Poland",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W43","PT","Portugal",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W43","RO","Romania",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W43","SE","Sweden",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W43","SI","Slovenia",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W44","AT","Austria",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W44","BE","Belgium",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W44","BG","Bulgaria",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W44","CZ","Czechia",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W44","DE","Germany",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W44","DK","Denmark",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W44","EE","Estonia",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W44","EL","Greece",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W44","ES","Spain",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W44","EU31_UKX","EU/EEA",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W44","FR","France",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W44","HU","Hungary",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W44","IE","Ireland",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W44","LT","Lithuania",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W44","LU","Luxembourg",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W44","LV","Latvia",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W44","NL","Netherlands",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W44","NO","Norway",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W44","PL","Poland",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W44","PT","Portugal",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W44","RO","Romania",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W44","SE","Sweden",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W44","SI","Slovenia",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W45","AT","Austria",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W45","BE","Belgium",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W45","BG","Bulgaria",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W45","CZ","Czechia",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W45","DE","Germany",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W45","DK","Denmark",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W45","EE","Estonia",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W45","EL","Greece",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W45","ES","Spain",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W45","EU31_UKX","EU/EEA",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W45","FR","France",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W45","HU","Hungary",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W45","IE","Ireland",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W45","LT","Lithuania",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W45","LU","Luxembourg",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W45","LV","Latvia",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W45","NL","Netherlands",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W45","NO","Norway",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W45","PL","Poland",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W45","PT","Portugal",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W45","RO","Romania",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W45","SE","Sweden",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W45","SI","Slovenia",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W46","AT","Austria",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W46","BE","Belgium",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W46","BG","Bulgaria",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W46","CZ","Czechia",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W46","DE","Germany",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W46","DK","Denmark",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W46","EE","Estonia",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W46","EL","Greece",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W46","ES","Spain",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W46","EU31_UKX","EU/EEA",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W46","FR","France",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W46","HU","Hungary",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W46","IE","Ireland",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W46","LT","Lithuania",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W46","LU","Luxembourg",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W46","LV","Latvia",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W46","NL","Netherlands",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W46","NO","Norway",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W46","PL","Poland",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W46","PT","Portugal",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W46","RO","Romania",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W46","SE","Sweden",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W46","SI","Slovenia",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W47","AT","Austria",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W47","BE","Belgium",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W47","BG","Bulgaria",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W47","CZ","Czechia",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W47","DE","Germany",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W47","DK","Denmark",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W47","EE","Estonia",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W47","EL","Greece",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W47","ES","Spain",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W47","EU31_UKX","EU/EEA",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W47","FR","France",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W47","HU","Hungary",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W47","IE","Ireland",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W47","LT","Lithuania",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W47","LU","Luxembourg",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W47","LV","Latvia",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W47","NL","Netherlands",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W47","NO","Norway",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W47","PL","Poland",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W47","PT","Portugal",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W47","RO","Romania",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W47","SE","Sweden",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W47","SI","Slovenia",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W48","AT","Austria",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W48","BE","Belgium",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W48","BG","Bulgaria",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W48","CZ","Czechia",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W48","DE","Germany",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W48","DK","Denmark",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W48","EE","Estonia",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W48","EL","Greece",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W48","ES","Spain",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W48","EU31_UKX","EU/EEA",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W48","FR","France",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W48","HU","Hungary",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W48","IE","Ireland",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W48","LT","Lithuania",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W48","LU","Luxembourg",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W48","LV","Latvia",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W48","NL","Netherlands",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W48","NO","Norway",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W48","PL","Poland",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W48","PT","Portugal",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W48","RO","Romania",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W48","SE","Sweden",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W48","SI","Slovenia",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W48","SK","Slovakia",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W49","AT","Austria",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W49","BE","Belgium",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W49","BG","Bulgaria",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W49","CZ","Czechia",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W49","DE","Germany",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W49","DK","Denmark",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W49","EE","Estonia",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W49","EL","Greece",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W49","ES","Spain",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W49","EU31_UKX","EU/EEA",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W49","FR","France",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W49","HU","Hungary",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W49","IE","Ireland",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W49","LT","Lithuania",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W49","LU","Luxembourg",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W49","LV","Latvia",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W49","NL","Netherlands",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W49","NO","Norway",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W49","PL","Poland",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W49","PT","Portugal",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W49","RO","Romania",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W49","SE","Sweden",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W49","SI","Slovenia",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W49","SK","Slovakia",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W50","AT","Austria",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W50","BE","Belgium",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W50","BG","Bulgaria",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W50","CZ","Czechia",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W50","DE","Germany",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W50","DK","Denmark",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W50","EE","Estonia",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W50","EL","Greece",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W50","ES","Spain",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W50","EU31_UKX","EU/EEA",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W50","FR","France",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W50","HU","Hungary",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W50","IE","Ireland",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W50","LT","Lithuania",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W50","LU","Luxembourg",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W50","LV","Latvia",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W50","NL","Netherlands",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W50","NO","Norway",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W50","PL","Poland",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W50","PT","Portugal",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W50","RO","Romania",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W50","SE","Sweden",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W50","SI","Slovenia",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W50","SK","Slovakia",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W51","AT","Austria",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W51","BE","Belgium",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W51","BG","Bulgaria",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W51","CZ","Czechia",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W51","DE","Germany",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W51","DK","Denmark",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W51","EE","Estonia",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W51","EL","Greece",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W51","ES","Spain",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W51","EU31_UKX","EU/EEA",0.000000000,""
